sid,cid,sidsrcname,sidextid,subssynonym,sidmdate,depdate,depcatg,annotation,smiles
363897951,5897,Chemical Carcinogenesis Research Information System (CCRIS),53-96-3,2-Acetylaminofluorene,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2
363897952,178,Chemical Carcinogenesis Research Information System (CCRIS),60-35-5,acetamide,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(=O)N
363897953,1983,Chemical Carcinogenesis Research Information System (CCRIS),103-90-2,acetaminophen,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(=O)NC1=CC=C(C=C1)O
363897954,1989,Chemical Carcinogenesis Research Information System (CCRIS),968-81-0,acetohexamide,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
363897955,67180,Chemical Carcinogenesis Research Information System (CCRIS),127-06-0,Acetoxime,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(=NO)C
363897956,345512,Chemical Carcinogenesis Research Information System (CCRIS),7008-42-6,ACRONYCINE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC1(C=CC2=C3C(=C(C=C2O1)OC)C(=O)C4=CC=CC=C4N3C)C
363897957,6579,Chemical Carcinogenesis Research Information System (CCRIS),79-06-1,ACRYLAMIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C=CC(=O)N
363897958,7855,Chemical Carcinogenesis Research Information System (CCRIS),107-13-1,ACRYLONITRILE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C=CC#N
363897959,457193,Chemical Carcinogenesis Research Information System (CCRIS),50-76-0,actinomycin D,20210804,20180514,Governmental Organizations|Legacy Depositors,,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C
363897960,5280707,Chemical Carcinogenesis Research Information System (CCRIS),3688-53-7,FURYLFURAMIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=COC(=C1)/C(=C/C2=CC=C(O2)[N+](=O)[O-])/C(=O)N
363897961,104744,Chemical Carcinogenesis Research Information System (CCRIS),29611-03-8,AFLATOXICOL,20210804,20180514,Governmental Organizations|Legacy Depositors,,COC1=C2C3=C([C@H](CC3)O)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1
363897962,186907,Chemical Carcinogenesis Research Information System (CCRIS),1162-65-8,AFLATOXIN B1,20210804,20180514,Governmental Organizations|Legacy Depositors,,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1
363897963,2724360,Chemical Carcinogenesis Research Information System (CCRIS),7220-81-7,AFLATOXIN B2,20210804,20180514,Governmental Organizations|Legacy Depositors,,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5CCO[C@@H]5OC4=C1
363897964,2724361,Chemical Carcinogenesis Research Information System (CCRIS),1165-39-5,AFLATOXIN G1,20210804,20180514,Governmental Organizations|Legacy Depositors,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
363897965,15558498,Chemical Carcinogenesis Research Information System (CCRIS),6795-23-9,AFLATOXIN M1,20210804,20180514,Governmental Organizations|Legacy Depositors,,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C(=C1)O[C@@H]5[C@]4(C=CO5)O
363897966,,Chemical Carcinogenesis Research Information System (CCRIS),9002-18-0,Agar,20180514,20180514,Governmental Organizations|Legacy Depositors,,CC1[C@H]([C@H]2C(C(O1)CO2)OC3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OC)O)O
363897967,2086,Chemical Carcinogenesis Research Information System (CCRIS),116-06-3,aldicarb,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(C)(/C=N/OC(=O)NC)SC
363897968,12310947,Chemical Carcinogenesis Research Information System (CCRIS),309-00-2,aldrin,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1[C@@H]2C=C[C@H]1[C@H]3[C@@H]2[C@]4(C(=C([C@@]3(C4(Cl)Cl)Cl)Cl)Cl)Cl
363897969,7850,Chemical Carcinogenesis Research Information System (CCRIS),107-05-1,ALLYL CHLORIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C=CCCl
363897970,5971,Chemical Carcinogenesis Research Information System (CCRIS),57-06-7,ALLYL ISOTHIOCYANATE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C=CCN=C=S
363897971,17816,Chemical Carcinogenesis Research Information System (CCRIS),2835-39-4,ALLYL ISOVALERATE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(C)CC(=O)OCC=C
363897972,11937,Chemical Carcinogenesis Research Information System (CCRIS),613-13-8,2-Aminoanthracene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C=C3C=C(C=CC3=CC2=C1)N
363897973,8341,Chemical Carcinogenesis Research Information System (CCRIS),117-79-3,2-AMINOANTHRAQUINONE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N
363897974,6051,Chemical Carcinogenesis Research Information System (CCRIS),60-09-3,4-Aminoazobenzene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N
363897975,7340,Chemical Carcinogenesis Research Information System (CCRIS),97-56-3,97-56-3,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C
363897976,7102,Chemical Carcinogenesis Research Information System (CCRIS),92-67-1,4-Aminobiphenyl,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C=C1)C2=CC=C(C=C2)N
363897977,5284347,Chemical Carcinogenesis Research Information System (CCRIS),2185-92-4,2-Aminobiphenyl hydrochloride,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C=C1)C2=CC=CC=C2N.Cl
363897978,49970,Chemical Carcinogenesis Research Information System (CCRIS),67730-10-3,"2-Aminodipyrido[1,2-a:3',2'-d]imidazole",20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC2=NC3=C(N2C=C1)N=C(C=C3)N
363897979,28207,Chemical Carcinogenesis Research Information System (CCRIS),17026-81-2,3-Amino-4-ethoxyacetanilide,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCOC1=C(C=C(C=C1)NC(=O)C)N
363897980,7840,Chemical Carcinogenesis Research Information System (CCRIS),106-94-5,1-BROMOPROPANE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCCBr
363897981,1539,Chemical Carcinogenesis Research Information System (CCRIS),153-78-6,2-aminofluorene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1C2=CC=CC=C2C3=C1C=C(C=C3)N
363897982,6702,Chemical Carcinogenesis Research Information System (CCRIS),82-28-0,1-AMINO-2-METHYLANTHRAQUINONE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N
363897983,49971,Chemical Carcinogenesis Research Information System (CCRIS),67730-11-4,"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole",20210804,20180514,Governmental Organizations|Legacy Depositors,,CC1=CC=CN2C1=NC3=C2N=C(C=C3)N
363897984,62244,Chemical Carcinogenesis Research Information System (CCRIS),68006-83-7,"2-Amino-3-methyl-9H-pyrido[2,3-b]indole",20210804,20180514,Governmental Organizations|Legacy Depositors,,CC1=CC2=C(NC3=CC=CC=C32)N=C1N
363897985,61205,Chemical Carcinogenesis Research Information System (CCRIS),712-68-5,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N
363897986,3417419,Chemical Carcinogenesis Research Information System (CCRIS),119-34-6,4-AMINO-2-NITROPHENOL,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC(=C(C=C1N)[N+](=O)[O-])O
363897987,8486,Chemical Carcinogenesis Research Information System (CCRIS),121-66-4,2-AMINO-5-NITROTHIAZOLE,20190211,20180514,Governmental Organizations|Legacy Depositors,,C1=C(SC(=N1)N)[N+](=O)[O-]
363897988,62805,Chemical Carcinogenesis Research Information System (CCRIS),26148-68-5,"2-Amino-9H-pyrido[2,3-b]indole",20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C(=C1)C3=C(N2)N=C(C=C3)N
363897989,17083,Chemical Carcinogenesis Research Information System (CCRIS),2432-99-7,11-AMINOUNDECANOIC ACID,20210804,20180514,Governmental Organizations|Legacy Depositors,,C(CCCCCN)CCCCC(=O)O
363897990,1639,Chemical Carcinogenesis Research Information System (CCRIS),61-82-5,Amitrole,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=NNC(=N1)N
